date,time,price,pricePerSquareFoot,priceChangeRate,event,source,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
2023-04-08,1680912000000,340000.0,209.0,-0.02857142857142857,Sold,Stellar MLS / MFRMLS,"{'photo': None, 'profileUrl': '/profile/erica7011/', 'name': 'Erica Hoskins'}","{'photo': {'url': 'https://photos.zillowstatic.com/h_e/IS9dk5rj6aph3o1000000000.jpg'}, 'profileUrl': '/profile/Katrina-Madewell/', 'name': 'Katrina Madewell'}",False,False,"{'infoString1': 'T3424788', 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2023-03-08,1678233600000,350000.0,215.0,0.0,Pending sale,Stellar MLS / MFRMLS,,,False,False,"{'infoString1': 'T3424788', 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2023-02-04,1675468800000,350000.0,215.0,-0.0410958904109589,Price change,Stellar MLS / MFRMLS,,,False,False,"{'infoString1': 'T3424788', 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2023-01-27,1674777600000,365000.0,224.0,0.38336175857494786,Listed for sale,Stellar MLS / MFRMLS,,,False,False,"{'infoString1': 'T3424788', 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2023-01-02,1672617600000,,,0.0,Listing removed,Zillow Rentals,,,False,True,"{'infoString1': None, 'infoString2': 'Zillow Rentals', 'infoString3': None}"
2022-12-05,1670198400000,2400.0,1.0,0.2,Listed for rent,Zillow Rental Manager,,,False,True,"{'infoString1': '', 'infoString2': 'Zillow Rental Manager', 'infoString3': None}"
2021-12-16,1639612800000,,,0.0,Listing removed,Zillow Rental Network Premium,,,False,True,"{'infoString1': None, 'infoString2': 'Zillow Rental Network Premium', 'infoString3': None}"
2021-12-14,1639440000000,2000.0,1.0,-0.047619047619047616,Price change,Zillow Rental Network Premium,,,False,True,"{'infoString1': '', 'infoString2': 'Zillow Rental Network Premium', 'infoString3': None}"
2021-12-06,1638748800000,2100.0,1.0,-0.045454545454545456,Listed for rent,Zillow Rental Network Premium,,,False,True,"{'infoString1': '', 'infoString2': 'Zillow Rental Network Premium', 'infoString3': None}"
2021-10-15,1634256000000,,,0.0,Listing removed,Zillow Rental Network Premium,,,False,True,"{'infoString1': None, 'infoString2': 'Zillow Rental Network Premium', 'infoString3': None}"
2021-09-30,1632960000000,2200.0,1.0,0.0,Listed for rent,Zillow Rental Network Premium,,,False,True,"{'infoString1': '', 'infoString2': 'Zillow Rental Network Premium', 'infoString3': None}"
2021-05-25,1621900800000,263850.0,162.0,0.0004739785761683572,Sold,Stellar MLS / MFRMLS,"{'photo': {'url': 'https://photos.zillowstatic.com/h_e/IS9dk5rj6aph3o1000000000.jpg'}, 'profileUrl': '/profile/Katrina-Madewell/', 'name': 'Katrina Madewell'}",,False,False,"{'infoString1': 'T3270295', 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2021-04-09,1617926400000,263725.0,162.0,0.0,Pending sale,Stellar MLS / MFRMLS,,,False,False,"{'infoString1': 'T3270295', 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2021-01-19,1611014400000,,,0.0,Listing removed,Stellar MLS / MFRMLS,,,False,False,"{'infoString1': None, 'infoString2': 'Stellar MLS / MFRMLS', 'infoString3': 'https://photos.zillowstatic.com/fp/e39375731b4bce0deb161dcc85f92017-zillow_web_logo_inf_11.jpg'}"
2020-10-12,1602460800000,263725.0,162.0,0.0,Listed for sale,DOMAIN REALTY LLC,,,False,False,"{'infoString1': 'T3270295', 'infoString2': 'DOMAIN REALTY LLC', 'infoString3': None}"
