time,taxPaid,taxIncreaseRate,value,valueIncreaseRate
1648154754232,6270.88,7.9529,315812,7.888101
1616618754232,700.43,1.6949981,35532,2.9910142
1585082754232,259.9,0.029225366,8903,0.09995058
1553460354232,252.52,0.0,8094,-0.5093653
1521924354232,252.52,0.21228997,16497,1.1666666
1490388354232,208.3,0.45075917,7614,0.25209668
1458852354232,143.58,0.06505455,6081,0.10003618
1427229954232,134.81,0.21297461,5528,0.100099504
1395693954232,111.14,0.0,5025,0.10004378
1364157954232,111.14,0.12935673,4568,0.0
1332621954232,98.41,0.031659547,4568,0.033952013
1300999554232,95.39,-0.19461332,4418,-0.19992757
1269463554232,118.44,-0.6893703,5522,-0.6875283
1237927554232,381.29,-0.38746622,17672,-0.3846154
1206391554232,622.48,-0.060393382,28717,-0.071428575
1174769154232,662.49,0.27960524,30926,0.4
1143236754232,517.73,0.6177545,22090,0.6666667
1111700754232,320.03,0.0,13254,0.5
1080164754232,,0.0,8836,0.42861763
1048542354232,,0.0,6185,0.0
1017006354232,,0.0,6185,-0.020895995
985470354232,,0.0,6317,0.0
953934354232,,0.0,6317,0.0
